employee_number,eeceeid,eeccoid,first_name,preferred_first_name,last_name,email_address,date_of_birth,original_hire_date,seniority_date,retirement_date,job_code,job_title,job_family_code,employee_type_code,employment_status_code,employment_status,company_code,location_code,org_level_1_code,supervisor_employee_number,supervisor_name,supervisor_email,primary_key,secondary_key,scheduled_fte,termination_date
100014,EE100014,CO002,Kevin,Kevin,Scott,kevin.scott@westmarkmanufacturing.com,1999-05-30,2018-01-08,2018-01-08,,26HR2,HR Generalist,HR,RFT,T,Terminated,WSTMF,102,240,101786,"Cox, Kevin",kevin.cox@alpineconstruction.com,100014_WSTMF,EE100014_CO002,1.0,2019-01-27
100015,EE100015,CO002,Karen,Karen,Bailey,karen.bailey@westmarkmanufacturing.com,1999-09-27,2018-01-08,2018-01-08,,55TRD1,Apprentice Technician,TRD,RFT,T,Terminated,WSTMF,102,230,102105,"Wang, Melissa",melissa.wang@prairieresources.ca,100015_WSTMF,EE100015_CO002,1.0,2020-07-13
100016,EE100016,CO002,Jose,Jose,Castillo,jose.castillo@westmarkmanufacturing.com,1991-11-23,2018-01-09,2018-01-09,,50OPS3,Operations Specialist,OPS,RFT,T,Terminated,WSTMF,115,90,102088,"Moore, Matthew",matthew.moore@westmarkmanufacturing.com,100016_WSTMF,EE100016_CO002,1.0,2021-01-24
100017,EE100017,CO002,Aaron,Aaron,Mendoza,aaron.mendoza@westmarkmanufacturing.com,1996-12-07,2018-01-09,2018-01-09,,13CSR1,Customer Service Representative,CSR,RPT,T,Terminated,WSTMF,118,190,102992,"Allen, Catherine",catherine.allen@northernpipeline.com,100017_WSTMF,EE100017_CO002,0.7,2023-03-26
100018,EE100018,CO001,Pamela,Pamela,Eriksson,pamela.eriksson@northernpipeline.com,1982-04-23,2018-01-12,2018-01-12,,96LEG4,Senior Legal Counsel,LEGAL,RFT,T,Terminated,NRTHP,119,100,,,,100018_NRTHP,EE100018_CO001,1.0,2024-06-04
100019,EE100019,CO001,Kenji,Kenji,Wright,kenji.wright@northernpipeline.com,1995-08-17,2018-01-12,2018-01-12,,29HR5,HR Manager,HR,RFT,A,Active,NRTHP,111,110,,,,100019_NRTHP,EE100019_CO001,1.0,
100020,EE100020,CO002,Samuel,Samuel,Weber,samuel.weber@westmarkmanufacturing.com,2000-01-08,2018-01-15,2018-01-15,,34IT2,Software Developer,IT,RPT,T,Terminated,WSTMF,118,150,,,,100020_WSTMF,EE100020_CO002,0.68,2019-01-27
100021,EE100021,CO004,Mei,Mei,Meyer,mei.meyer@alpineconstruction.com,1971-07-04,2018-01-17,2018-01-17,,02ADM2,Administrative Coordinator,ADMIN,RPT,A,Active,ALPNC,115,80,101251,"Li, Matthew",matthew.li@westmarkmanufacturing.com,100021_ALPNC,EE100021_CO004,0.65,
100022,EE100022,CO004,Daniel,Daniel,Williams,daniel.williams@alpineconstruction.com,1988-03-18,2018-01-18,2018-01-18,,09ACC4,Accounting Lead,ACCTG,RFT,T,Terminated,ALPNC,104,120,,,,100022_ALPNC,EE100022_CO004,1.0,2018-02-23
100023,EE100023,CO004,Larry,Larry,Davis,larry.davis@alpineconstruction.com,1985-09-28,2018-01-18,2018-01-18,,61WHS2,Warehouse Clerk,WHSE,RFT,T,Terminated,ALPNC,112,230,,,,100023_ALPNC,EE100023_CO004,1.0,2018-06-17
100024,EE100024,CO004,Paul,Paul,Perez,paul.perez@alpineconstruction.com,1999-11-14,2018-01-18,2018-01-18,,83SUP4,Shift Supervisor,SUPV,RFT,T,Terminated,ALPNC,100,200,,,,100024_ALPNC,EE100024_CO004,1.0,2019-10-09
100025,EE100025,CO002,Joshua,Joshua,Fischer,joshua.fischer@westmarkmanufacturing.com,1991-07-21,2018-01-19,2018-01-19,,43SAL3,Senior Account Executive,SALES,RFT,T,Terminated,WSTMF,100,160,102626,"Diaz, Patricia",patricia.diaz@alpineconstruction.com,100025_WSTMF,EE100025_CO002,1.0,2021-10-16
100026,EE100026,CO003,Carolyn,Carolyn,Bennett,carolyn.bennett@prairieresources.ca,1984-02-13,2018-01-19,2018-01-19,,60WHS1,Warehouse Associate,WHSE,RFT,T,Terminated,PRMRE,116,30,102136,"Zhang, Anthony",anthony.zhang@northernpipeline.com,100026_PRMRE,EE100026_CO003,1.0,2021-01-17
100027,EE100027,CO002,Matthew,Matthew,Castillo,matthew.castillo@westmarkmanufacturing.com,1997-04-23,2018-01-19,2018-01-19,,36IT3,Senior Systems Administrator,IT,RPT,A,Active,WSTMF,118,90,102839,"Jackson, Scott",scott.jackson@prairieresources.ca,100027_WSTMF,EE100027_CO002,0.72,
100028,EE100028,CO002,Adam,Adam,Schneider,adam.schneider@westmarkmanufacturing.com,1982-09-03,2018-01-19,2018-01-19,,79ANL3,Senior Data Analyst,ANLYT,RPT,T,Terminated,WSTMF,122,240,102139,"Jackson, Amanda",amanda.jackson@westmarkmanufacturing.com,100028_WSTMF,EE100028_CO002,0.63,2022-05-18
100029,EE100029,CO002,Ingrid,Ingrid,Larsson,ingrid.larsson@westmarkmanufacturing.com,1992-07-25,2018-01-22,2018-01-22,,20ENG3,Senior Engineer,ENGR,RFT,T,Terminated,WSTMF,118,60,102844,"Allen, Michael",michael.allen@northernpipeline.com,100029_WSTMF,EE100029_CO002,1.0,2018-11-14
100030,EE100030,CO002,Wei,Wei,Perez,wei.perez@westmarkmanufacturing.com,1988-11-30,2018-01-23,2018-01-23,,19ENG2,Engineer,ENGR,CON,A,Active,WSTMF,115,240,102901,"Olsson, Charles",charles.olsson@westmarkmanufacturing.com,100030_WSTMF,EE100030_CO002,1.0,
100031,EE100031,CO003,Betty,Betty,Adams,betty.adams@prairieresources.ca,1992-02-07,2018-01-23,2018-01-23,,32IT1,IT Support Technician,IT,RFT,A,Active,PRMRE,105,200,101074,"Wood, Betty",betty.wood@westmarkmanufacturing.com,100031_PRMRE,EE100031_CO003,1.0,
100032,EE100032,CO001,Patrick,Patrick,Singh,patrick.singh@northernpipeline.com,1967-09-05,2018-01-24,2018-01-24,,13CSR1,Customer Service Representative,CSR,RFT,A,Active,NRTHP,117,40,100480,"Hughes, Pamela",pamela.hughes@prairieresources.ca,100032_NRTHP,EE100032_CO001,1.0,
100033,EE100033,CO002,Dmitri,Dmitri,Davis,dmitri.davis@westmarkmanufacturing.com,1986-11-20,2018-01-24,2018-01-24,,07ACC2,Accountant,ACCTG,RPT,T,Terminated,WSTMF,122,100,101678,"Chavez, Eric",eric.chavez@westmarkmanufacturing.com,100033_WSTMF,EE100033_CO002,0.73,2018-03-01
100034,EE100034,CO003,Adam,Adam,Karlsson,adam.karlsson@prairieresources.ca,1996-04-11,2018-01-24,2018-01-24,,61WHS2,Warehouse Clerk,WHSE,RFT,T,Terminated,PRMRE,102,130,102468,"Morgan, Sofia",sofia.morgan@prairieresources.ca,100034_PRMRE,EE100034_CO003,1.0,2019-02-21
100035,EE100035,CO003,Priya,Priya,Perez,priya.perez@prairieresources.ca,1977-05-14,2018-02-01,2018-02-01,,94LEG2,Paralegal,LEGAL,RFT,T,Terminated,PRMRE,116,10,102461,"King, Alexander",alexander.king@northernpipeline.com,100035_PRMRE,EE100035_CO003,1.0,2020-11-02
100036,EE100036,CO001,Olga,Olga,Chen,olga.chen@northernpipeline.com,1998-05-08,2018-02-02,2018-02-02,,03ADM3,Senior Administrative Coordinator,ADMIN,RFT,T,Terminated,NRTHP,114,220,,,,100036_NRTHP,EE100036_CO001,1.0,2018-11-23
100037,EE100037,CO002,Brenda,Brenda,Olsson,brenda.olsson@westmarkmanufacturing.com,1983-11-16,2018-02-02,2018-02-02,,35IT3,Senior Developer,IT,TAW,T,Terminated,WSTMF,124,30,101397,"Alvarez, Janet",janet.alvarez@prairieresources.ca,100037_WSTMF,EE100037_CO002,1.0,2018-11-14
100038,EE100038,CO004,Michael,Michael,Edwards,michael.edwards@alpineconstruction.com,1999-02-19,2018-02-02,2018-02-02,,44SAL4,Sales Team Lead,SALES,RFT,A,Active,ALPNC,115,60,,,,100038_ALPNC,EE100038_CO004,1.0,
100039,EE100039,CO004,Emily,Emily,Flores,emily.flores@alpineconstruction.com,1999-08-22,2018-02-02,2018-02-02,,32IT1,IT Support Technician,IT,RFT,T,Terminated,ALPNC,119,30,,,,100039_ALPNC,EE100039_CO004,1.0,2021-11-20
100040,EE100040,CO002,Amy,Amy,Myers,amy.myers@westmarkmanufacturing.com,1984-10-11,2018-02-02,2018-02-02,,01ADM1,Administrative Assistant,ADMIN,RFT,T,Terminated,WSTMF,106,10,102926,"Lewis, Kathleen",kathleen.lewis@westmarkmanufacturing.com,100040_WSTMF,EE100040_CO002,1.0,2020-11-26
100041,EE100041,CO002,Susan,Susan,Torres,susan.torres@westmarkmanufacturing.com,1978-10-31,2018-02-02,2018-02-02,,48OPS1,Operations Assistant,OPS,RFT,T,Terminated,WSTMF,106,70,101220,"Perez, Brandon",brandon.perez@westmarkmanufacturing.com,100041_WSTMF,EE100041_CO002,1.0,2018-09-26
100042,EE100042,CO002,Scott,Scott,Flores,scott.flores@westmarkmanufacturing.com,1984-05-06,2018-02-05,2018-02-05,,56TRD2,Journeyman Technician,TRD,RFT,T,Terminated,WSTMF,100,150,,,,100042_WSTMF,EE100042_CO002,1.0,2020-04-06
100043,EE100043,CO002,Adam,Adam,Kelly,adam.kelly@westmarkmanufacturing.com,1987-07-09,2018-02-06,2018-02-06,,26HR2,HR Generalist,HR,RPT,T,Terminated,WSTMF,102,70,102708,"Moore, Jessica",jessica.moore@westmarkmanufacturing.com,100043_WSTMF,EE100043_CO002,0.78,2019-11-11
100044,EE100044,CO003,Robert,Robert,Castillo,robert.castillo@prairieresources.ca,1990-01-22,2018-02-07,2018-02-07,,94LEG2,Paralegal,LEGAL,RFT,A,Active,PRMRE,117,130,101323,"Kelly, Raj",raj.kelly@prairieresources.ca,100044_PRMRE,EE100044_CO003,1.0,
100045,EE100045,CO001,Anna,Anna,Young,anna.young@northernpipeline.com,1999-05-18,2018-02-09,2018-02-09,,61WHS2,Warehouse Clerk,WHSE,RFT,T,Terminated,NRTHP,122,210,101716,"Martinez, Angela",angela.martinez@westmarkmanufacturing.com,100045_NRTHP,EE100045_CO001,1.0,2020-05-29
100046,EE100046,CO004,Gary,Gary,Hernandez,gary.hernandez@alpineconstruction.com,1993-04-11,2018-02-09,2018-02-09,,43SAL3,Senior Account Executive,SALES,RFT,T,Terminated,ALPNC,104,60,101066,"Wong, Margaret",margaret.wong@alpineconstruction.com,100046_ALPNC,EE100046_CO004,1.0,2024-08-24
100047,EE100047,CO003,Katherine,Katherine,Perez,katherine.perez@prairieresources.ca,1990-02-20,2018-02-09,2018-02-09,,56TRD2,Journeyman Technician,TRD,RFT,T,Terminated,PRMRE,115,110,102872,"Gray, Carolyn",carolyn.gray@prairieresources.ca,100047_PRMRE,EE100047_CO003,1.0,2019-10-02
100048,EE100048,CO002,Gregory,Gregory,Perez,gregory.perez@westmarkmanufacturing.com,1975-11-09,2018-02-09,2018-02-09,,90PRO3,Project Manager,PROJ,RFT,A,Active,WSTMF,118,60,102844,"Allen, Michael",michael.allen@northernpipeline.com,100048_WSTMF,EE100048_CO002,1.0,
100049,EE100049,CO004,Charles,Charles,Edwards,charles.edwards@alpineconstruction.com,1982-08-07,2018-02-12,2018-02-12,,41SAL1,Sales Representative,SALES,RFT,T,Terminated,ALPNC,102,150,100842,"Reed, Larry",larry.reed@prairieresources.ca,100049_ALPNC,EE100049_CO004,1.0,2025-02-04
100050,EE100050,CO001,Deborah,Deborah,Davis,deborah.davis@northernpipeline.com,1999-05-19,2018-02-12,2018-02-12,,26HR2,HR Generalist,HR,TAW,T,Terminated,NRTHP,112,70,,,,100050_NRTHP,EE100050_CO001,1.0,2019-09-23
100051,EE100051,CO001,Samuel,Samuel,Reyes,samuel.reyes@northernpipeline.com,1982-05-11,2018-02-13,2018-02-13,,13CSR1,Customer Service Representative,CSR,TFT,T,Terminated,NRTHP,103,170,,,,100051_NRTHP,EE100051_CO001,1.0,2018-07-03
100052,EE100052,CO004,Raj,Raj,Reed,raj.reed@alpineconstruction.com,1989-12-15,2018-02-13,2018-02-13,,09ACC4,Accounting Lead,ACCTG,CON,T,Terminated,ALPNC,121,110,100624,"Wood, Ahmed",ahmed.wood@alpineconstruction.com,100052_ALPNC,EE100052_CO004,1.0,2019-01-15
100053,EE100053,CO001,Mark,Mark,Gonzalez,mark.gonzalez@northernpipeline.com,1992-09-18,2018-02-14,2018-02-14,,55TRD1,Apprentice Technician,TRD,RFT,T,Terminated,NRTHP,102,130,102468,"Morgan, Sofia",sofia.morgan@prairieresources.ca,100053_NRTHP,EE100053_CO001,1.0,2021-01-13
100054,EE100054,CO002,Ahmed,Ahmed,Ward,ahmed.ward@westmarkmanufacturing.com,1979-03-10,2018-02-15,2018-02-15,,05ACC1,Accounts Payable Clerk,ACCTG,RFT,A,Active,WSTMF,102,60,101520,"Olsson, Jason",jason.olsson@alpineconstruction.com,100054_WSTMF,EE100054_CO002,1.0,
100055,EE100055,CO004,Jacob,Jacob,Clark,jacob.clark@alpineconstruction.com,1975-11-30,2018-02-16,2018-02-16,,09ACC4,Accounting Lead,ACCTG,TAW,T,Terminated,ALPNC,119,200,,,,100055_ALPNC,EE100055_CO004,1.0,2018-03-13
100056,EE100056,CO002,Fatima,Fatima,Long,fatima.long@westmarkmanufacturing.com,1976-12-20,2018-02-16,2018-02-16,,41SAL1,Sales Representative,SALES,RPT,A,Active,WSTMF,113,220,102968,"Ortiz, Kenji",kenji.ortiz@northernpipeline.com,100056_WSTMF,EE100056_CO002,0.7,
100057,EE100057,CO004,Katherine,Katherine,Castillo,katherine.castillo@alpineconstruction.com,1994-09-08,2018-02-20,2018-02-20,,56TRD2,Journeyman Technician,TRD,RPT,T,Terminated,ALPNC,102,200,,,,100057_ALPNC,EE100057_CO004,0.42,2022-08-24
100058,EE100058,CO002,Larry,Larry,Yamamoto,larry.yamamoto@westmarkmanufacturing.com,1989-07-18,2018-02-23,2018-02-23,,19ENG2,Engineer,ENGR,RFT,T,Terminated,WSTMF,111,230,,,,100058_WSTMF,EE100058_CO002,1.0,2024-03-17
100059,EE100059,CO002,Olga,Olga,Persson,olga.persson@westmarkmanufacturing.com,1982-09-25,2018-02-23,2018-02-23,,94LEG2,Paralegal,LEGAL,RFT,T,Terminated,WSTMF,108,170,101544,"Stewart, George",george.stewart@westmarkmanufacturing.com,100059_WSTMF,EE100059_CO002,1.0,2020-08-06
100060,EE100060,CO004,Giovanni,Giovanni,Schmidt,giovanni.schmidt@alpineconstruction.com,1976-07-31,2018-02-23,2018-02-23,,70MKT1,Marketing Coordinator,MKTG,RFT,A,Active,ALPNC,111,40,101448,"Chen, Kenneth",kenneth.chen@alpineconstruction.com,100060_ALPNC,EE100060_CO004,1.0,
100061,EE100061,CO003,Ruth,Ruth,Brown,ruth.brown@prairieresources.ca,1990-12-10,2018-02-23,2018-02-23,,71MKT2,Marketing Specialist,MKTG,CON,T,Terminated,PRMRE,115,220,102648,"Flores, Ashley",ashley.flores@prairieresources.ca,100061_PRMRE,EE100061_CO003,1.0,2018-09-30
100062,EE100062,CO004,Carlos,Carlos,Mueller,carlos.mueller@alpineconstruction.com,1988-02-10,2018-02-26,2018-02-26,,77ANL1,Data Analyst,ANLYT,RFT,A,Active,ALPNC,124,160,100599,"Johansson, Jonathan",jonathan.johansson@prairieresources.ca,100062_ALPNC,EE100062_CO004,1.0,
100063,EE100063,CO003,Hans,Hans,Watson,hans.watson@prairieresources.ca,1997-06-09,2018-02-26,2018-02-26,,96LEG4,Senior Legal Counsel,LEGAL,RFT,T,Terminated,PRMRE,116,210,,,,100063_PRMRE,EE100063_CO003,1.0,2018-08-18
100064,EE100064,CO003,Lars,Lars,Collins,lars.collins@prairieresources.ca,1997-11-22,2018-02-28,2018-02-28,,60WHS1,Warehouse Associate,WHSE,RFT,T,Terminated,PRMRE,117,40,100480,"Hughes, Pamela",pamela.hughes@prairieresources.ca,100064_PRMRE,EE100064_CO003,1.0,2020-01-28
100065,EE100065,CO004,Dorothy,Dorothy,Rivera,dorothy.rivera@alpineconstruction.com,1978-02-05,2018-02-28,2018-02-28,,77ANL1,Data Analyst,ANLYT,RFT,A,Active,ALPNC,102,150,100842,"Reed, Larry",larry.reed@prairieresources.ca,100065_ALPNC,EE100065_CO004,1.0,
100066,EE100066,CO004,Raj,Raj,Li,raj.li@alpineconstruction.com,1972-06-12,2018-03-02,2018-03-02,,04ADM4,Executive Assistant,ADMIN,RFT,A,Active,ALPNC,104,100,,,,100066_ALPNC,EE100066_CO004,1.0,
100067,EE100067,CO002,Wei,Wei,Castillo,wei.castillo@westmarkmanufacturing.com,1986-12-19,2018-03-02,2018-03-02,,13CSR1,Customer Service Representative,CSR,RFT,A,Active,WSTMF,108,190,100313,"Larsson, Priya",priya.larsson@northernpipeline.com,100067_WSTMF,EE100067_CO002,1.0,
100068,EE100068,CO003,Andrew,Andrew,Murphy,andrew.murphy@prairieresources.ca,1975-04-29,2018-03-02,2018-03-02,,57TRD3,Senior Technician,TRD,RFT,A,Active,PRMRE,116,70,101496,"Hill, Gregory",gregory.hill@prairieresources.ca,100068_PRMRE,EE100068_CO003,1.0,
100069,EE100069,CO004,John,John,Jones,john.jones@alpineconstruction.com,1982-10-08,2018-03-02,2018-03-02,,80ANL4,Analytics Lead,ANLYT,RFT,A,Active,ALPNC,116,130,,,,100069_ALPNC,EE100069_CO004,1.0,
100070,EE100070,CO004,David,David,Anderson,david.anderson@alpineconstruction.com,1992-12-31,2018-03-02,2018-03-02,,28HR4,HR Business Partner,HR,RFT,T,Terminated,ALPNC,115,50,,,,100070_ALPNC,EE100070_CO004,1.0,2022-12-13
100071,EE100071,CO001,Virginia,Virginia,Nilsson,virginia.nilsson@northernpipeline.com,1982-11-17,2018-03-06,2018-03-06,,66TEC2,Service Technician,TECH,RFT,A,Active,NRTHP,111,150,,,,100071_NRTHP,EE100071_CO001,1.0,
100072,EE100072,CO002,Dmitri,Dmitri,Foster,dmitri.foster@westmarkmanufacturing.com,1970-03-31,2018-03-06,2018-03-06,,65TEC1,Field Technician,TECH,RFT,A,Active,WSTMF,118,160,100692,"Wang, Tyler",tyler.wang@northernpipeline.com,100072_WSTMF,EE100072_CO002,1.0,
100073,EE100073,CO004,Aisha,Aisha,Myers,aisha.myers@alpineconstruction.com,1986-12-01,2018-03-07,2018-03-07,,07ACC2,Accountant,ACCTG,RFT,A,Active,ALPNC,104,80,,,,100073_ALPNC,EE100073_CO004,1.0,
100074,EE100074,CO003,Justin,Justin,Meyer,justin.meyer@prairieresources.ca,1971-02-25,2018-03-07,2018-03-07,,55TRD1,Apprentice Technician,TRD,RFT,T,Terminated,PRMRE,118,210,101721,"Larsson, Aaron",aaron.larsson@northernpipeline.com,100074_PRMRE,EE100074_CO003,1.0,2021-07-24
100075,EE100075,CO001,Catherine,Catherine,Gray,catherine.gray@northernpipeline.com,1999-08-13,2018-03-08,2018-03-08,,16CSR4,Customer Service Team Lead,CSR,RFT,A,Active,NRTHP,123,50,,,,100075_NRTHP,EE100075_CO001,1.0,
100076,EE100076,CO004,Ryan,Ryan,Bailey,ryan.bailey@alpineconstruction.com,1978-03-18,2018-03-08,2018-03-08,,91PRO4,Senior Project Manager,PROJ,RPT,A,Active,ALPNC,111,180,,,,100076_ALPNC,EE100076_CO004,0.7,
100077,EE100077,CO003,Lars,Lars,Rogers,lars.rogers@prairieresources.ca,1985-05-21,2018-03-09,2018-03-09,,42SAL2,Account Executive,SALES,TFT,T,Terminated,PRMRE,123,50,100075,"Gray, Catherine",catherine.gray@northernpipeline.com,100077_PRMRE,EE100077_CO003,1.0,2024-08-24
100078,EE100078,CO001,Andrew,Andrew,Mueller,andrew.mueller@northernpipeline.com,1988-09-23,2018-03-09,2018-03-09,,27HR3,Senior HR Generalist,HR,RFT,T,Terminated,NRTHP,122,130,102268,"Johansson, Eric",eric.johansson@westmarkmanufacturing.com,100078_NRTHP,EE100078_CO001,1.0,2021-06-09
100079,EE100079,CO004,Isabella,Isabella,Brooks,isabella.brooks@alpineconstruction.com,1986-01-09,2018-03-09,2018-03-09,,66TEC2,Service Technician,TECH,RPT,T,Terminated,ALPNC,100,130,101590,"Karlsson, Aaron",aaron.karlsson@prairieresources.ca,100079_ALPNC,EE100079_CO004,0.58,2020-04-05
100080,EE100080,CO003,Carol,Carol,Campbell,carol.campbell@prairieresources.ca,1999-11-23,2018-03-12,2018-03-12,,15CSR3,Senior Customer Service Specialist,CSR,RFT,A,Active,PRMRE,118,130,,,,100080_PRMRE,EE100080_CO003,1.0,
100081,EE100081,CO001,Nathan,Nathan,Campbell,nathan.campbell@northernpipeline.com,1988-04-04,2018-03-12,2018-03-12,,77ANL1,Data Analyst,ANLYT,RFT,T,Terminated,NRTHP,111,170,100861,"Ortiz, Jose",jose.ortiz@alpineconstruction.com,100081_NRTHP,EE100081_CO001,1.0,2019-01-07
100082,EE100082,CO004,Olga,Olga,Green,olga.green@alpineconstruction.com,1982-12-07,2018-03-12,2018-03-12,,06ACC1,Accounts Receivable Clerk,ACCTG,RFT,T,Terminated,ALPNC,111,250,102191,"Green, Cynthia",cynthia.green@alpineconstruction.com,100082_ALPNC,EE100082_CO004,1.0,2024-11-30
100083,EE100083,CO004,Frank,Frank,Allen,frank.allen@alpineconstruction.com,1971-04-03,2018-03-12,2018-03-12,,43SAL3,Senior Account Executive,SALES,RPT,A,Active,ALPNC,121,150,,,,100083_ALPNC,EE100083_CO004,0.48,
100084,EE100084,CO004,Anna,Anna,Nelson,anna.nelson@alpineconstruction.com,1991-05-17,2018-03-13,2018-03-13,,28HR4,HR Business Partner,HR,RFT,A,Active,ALPNC,114,150,,,,100084_ALPNC,EE100084_CO004,1.0,
100085,EE100085,CO003,Mohammed,Mohammed,Wright,mohammed.wright@prairieresources.ca,1994-08-24,2018-03-15,2018-03-15,,78ANL2,Business Analyst,ANLYT,RFT,A,Active,PRMRE,115,30,102360,"Castillo, Timothy",timothy.castillo@westmarkmanufacturing.com,100085_PRMRE,EE100085_CO003,1.0,
100086,EE100086,CO001,Karen,Karen,Meyer,karen.meyer@northernpipeline.com,1991-09-11,2018-03-16,2018-03-16,,01ADM1,Administrative Assistant,ADMIN,RFT,A,Active,NRTHP,121,30,100345,"Zhang, Ryan",ryan.zhang@alpineconstruction.com,100086_NRTHP,EE100086_CO001,1.0,
100087,EE100087,CO002,Tyler,Tyler,Kelly,tyler.kelly@westmarkmanufacturing.com,1976-04-17,2018-03-19,2018-03-19,,03ADM3,Senior Administrative Coordinator,ADMIN,RFT,T,Terminated,WSTMF,100,70,,,,100087_WSTMF,EE100087_CO002,1.0,2019-01-03
100088,EE100088,CO004,Jessica,Jessica,Jackson,jessica.jackson@alpineconstruction.com,1982-06-23,2018-03-20,2018-03-20,,07ACC2,Accountant,ACCTG,RFT,T,Terminated,ALPNC,100,250,102201,"Reed, Sandra",sandra.reed@westmarkmanufacturing.com,100088_ALPNC,EE100088_CO004,1.0,2019-09-27
100089,EE100089,CO002,Tyler,Tyler,Schneider,tyler.schneider@westmarkmanufacturing.com,1991-12-05,2018-03-20,2018-03-20,,63WHS4,Warehouse Lead,WHSE,RFT,A,Active,WSTMF,107,220,,,,100089_WSTMF,EE100089_CO002,1.0,
100090,EE100090,CO004,Jack,Jack,Eriksson,jack.eriksson@alpineconstruction.com,1980-11-12,2018-03-21,2018-03-21,,80ANL4,Analytics Lead,ANLYT,RPT,T,Terminated,ALPNC,119,30,,,,100090_ALPNC,EE100090_CO004,0.51,2022-09-25
